Student ID,Student Name,Department,Attendance Percentage,Marks Obtained,Semester
1001,Student_1,MECH,88,54,3
1002,Student_2,CIVIL,80,78,2
1003,Student_3,ECE,82,50,3
1004,Student_4,CIVIL,95,79,8
1005,Student_5,ECE,81,92,2
1006,Student_6,MECH,89,77,2
1007,Student_7,MECH,80,72,4
1008,Student_8,IT,81,83,1
1009,Student_9,CSE,86,98,7
1010,Student_10,IT,87,99,8
1011,Student_11,ECE,62,76,3
1012,Student_12,CIVIL,68,78,2
1013,Student_13,MECH,84,99,6
1014,Student_14,IT,68,65,5
1015,Student_15,IT,79,67,7
1016,Student_16,MECH,66,83,5
1017,Student_17,ECE,73,56,4
1018,Student_18,IT,99,43,2
1019,Student_19,IT,63,93,5
1020,Student_20,IT,85,83,2
1021,Student_21,IT,95,53,7
1022,Student_22,MECH,99,60,8
1023,Student_23,CIVIL,77,86,5
1024,Student_24,IT,84,99,4
1025,Student_25,MECH,88,54,5
1026,Student_26,CSE,84,46,1
1027,Student_27,CSE,67,63,7
1028,Student_28,ECE,76,47,3
1029,Student_29,ECE,92,98,5
1030,Student_30,IT,98,97,1
1031,Student_31,MECH,66,48,8
1032,Student_32,MECH,93,72,8
1033,Student_33,CIVIL,94,83,8
1034,Student_34,ECE,94,40,3
1035,Student_35,CIVIL,73,42,1
1036,Student_36,CIVIL,85,94,7
1037,Student_37,ECE,68,54,7
1038,Student_38,IT,72,90,7
1039,Student_39,CSE,91,43,6
1040,Student_40,CIVIL,82,78,5
1041,Student_41,ECE,88,75,5
1042,Student_42,ECE,81,67,2
1043,Student_43,IT,65,67,4
1044,Student_44,MECH,79,69,6
1045,Student_45,ECE,87,64,7
1046,Student_46,CSE,60,96,3
1047,Student_47,CSE,72,80,3
1048,Student_48,ECE,68,76,1
1049,Student_49,ECE,83,54,3
1050,Student_50,CSE,71,78,2
